rank,uuid,collection_filter,canonical_id,expected_title,expected_year,expected_number,title,observed_act_id,observed_act_year,observed_act_number,collection,state_name,no_of_section,handle,last_modified,api_url,public_url,sections_url,schedules_url,inventory_source_blob_sha256,raw_blob_sha256
1,4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,ACT,,,,,"The Kerala (Alteration of Name) Act, 2026",AC_CEN_5_0_202618_1788259652475,2026,18,ACT,CENTRAL,,123456789/619586,,https://indiacode.gov.in/server/api/core/items/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be/sections,https://indiacode.gov.in/act/4d3bfe6b-a872-47d8-a0d5-1b3d437b81be/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
2,505f0079-9aee-49b0-93f3-dfd48511f81e,ACT,,,,,"The Tribunals Reforms Act, 2026",AC_CEN_3_46_202617_1788240133650,2026,17,ACT,CENTRAL,,123456789/619582,,https://indiacode.gov.in/server/api/core/items/505f0079-9aee-49b0-93f3-dfd48511f81e,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e/sections,https://indiacode.gov.in/act/505f0079-9aee-49b0-93f3-dfd48511f81e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
3,63b87434-40a1-4eaf-a44e-adcc29215670,ACT,,,,,"The Viksit Bharat—Guarantee for Rozgar And Ajeevika Mission (Gramin): Vb—G Ram G (विकसित भारत—जी राम जी)Act, 2025",AC_CEN_18_21_00003_2025-36_1782898495903,2025,36,ACT,CENTRAL,0,123456789/619290,,https://indiacode.gov.in/server/api/core/items/63b87434-40a1-4eaf-a44e-adcc29215670,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670/sections,https://indiacode.gov.in/act/63b87434-40a1-4eaf-a44e-adcc29215670/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
4,df9e8d57-1b22-4300-b88c-a07217e10524,ACT,,,,,"The Repealing and Amending Act, 2025",AC_CEN_3_20_00074_2025-37_1768215915280,2025,37,ACT,CENTRAL,0,123456789/496453,,https://indiacode.gov.in/server/api/core/items/df9e8d57-1b22-4300-b88c-a07217e10524,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524/sections,https://indiacode.gov.in/act/df9e8d57-1b22-4300-b88c-a07217e10524/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
5,e3988e15-800a-4b73-9d53-3e482682cd29,ACT,,,,,"The Health Security Se National Security Cess Act, 2025",AC_CEN_2_2_00037_2025-35_1771398637863,2025,35,ACT,CENTRAL,0,123456789/496299,,https://indiacode.gov.in/server/api/core/items/e3988e15-800a-4b73-9d53-3e482682cd29,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29/sections,https://indiacode.gov.in/act/e3988e15-800a-4b73-9d53-3e482682cd29/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
6,08c961e9-dbcd-4702-bb14-81e1eb71df64,ACT,,,,,"The Promotion and Regulation of Online Gaming Act, 2025",AC_CEN_45_0_00004_2025-32_1778133559220,2025,32,ACT,CENTRAL,0,123456789/496509,,https://indiacode.gov.in/server/api/core/items/08c961e9-dbcd-4702-bb14-81e1eb71df64,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64/sections,https://indiacode.gov.in/act/08c961e9-dbcd-4702-bb14-81e1eb71df64/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
7,3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,ACT,,,,,The Indian Ports Act 2025,AC_CEN_198_0_00008_2025-7_1780909543261,2025,27,ACT,CENTRAL,0,123456789/496080,,https://indiacode.gov.in/server/api/core/items/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8/sections,https://indiacode.gov.in/act/3ff1fdd2-85fc-4db7-9aff-e07c2bbeecb8/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
8,5a5bb080-385a-4542-8b8e-ac42e773708e,ACT,,,,,"The Merchant Shipping Act, 2025",AC_CEN_198_0_00006_2025-24_1777264737276,2025,24,ACT,CENTRAL,0,123456789/496078,,https://indiacode.gov.in/server/api/core/items/5a5bb080-385a-4542-8b8e-ac42e773708e,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e/sections,https://indiacode.gov.in/act/5a5bb080-385a-4542-8b8e-ac42e773708e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
9,96e79827-df92-46cb-a785-ceb2abd287ae,ACT,,,,,"The National Sports Governance Act, 2025",AC_CEN_34_92_00002_2025-25_1767697307397,2025,25,ACT,CENTRAL,0,123456789/496361,,https://indiacode.gov.in/server/api/core/items/96e79827-df92-46cb-a785-ceb2abd287ae,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae/sections,https://indiacode.gov.in/act/96e79827-df92-46cb-a785-ceb2abd287ae/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
10,d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,ACT,,,,,"The Readjustment of Representation of Scheduled Tribes in Assembly Constituencies of the State of Goa Act, 2025",AC_CEN_3_20_00075_2025-21_1786951607239,2025,21,ACT,CENTRAL,0,123456789/619301,,https://indiacode.gov.in/server/api/core/items/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe/sections,https://indiacode.gov.in/act/d8fb7bca-f02c-4398-bc6b-15f874f0c2fe/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
11,2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,ACT,,,,,"The Coastal Shipping Act, 2025",AC_CEN_198_0_00007_2025-20_1777265394360,2025,20,ACT,CENTRAL,0,123456789/496079,,https://indiacode.gov.in/server/api/core/items/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653/sections,https://indiacode.gov.in/act/2ac30bdb-7e3c-4d2e-8ee4-c62fb8528653/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
12,1a9b7c18-faca-4b25-83a0-774f39fc20fc,ACT,,,,,"The Bills of Lading Act, 2025",AC_CEN_198_0_00006_2025-18_1758263039996,2025,18,ACT,CENTRAL,0,123456789/496077,,https://indiacode.gov.in/server/api/core/items/1a9b7c18-faca-4b25-83a0-774f39fc20fc,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc/sections,https://indiacode.gov.in/act/1a9b7c18-faca-4b25-83a0-774f39fc20fc/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
13,364683a7-2386-4b5a-8b9f-b2ad4605ea7e,ACT,,,,,"The Protection of Interests in Aircraft Objects Act, 2025",AC_CEN_36_0_000010_202517_1746601226831,2025,17,ACT,CENTRAL,0,123456789/496364,,https://indiacode.gov.in/server/api/core/items/364683a7-2386-4b5a-8b9f-b2ad4605ea7e,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e/sections,https://indiacode.gov.in/act/364683a7-2386-4b5a-8b9f-b2ad4605ea7e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
14,21c04350-dcd1-4a44-8680-25e9d8b8853b,ACT,,,,,"The Mussalman Wakf (Repeal) Act, 2025",AC_CEN_44_0_00005_A2025-15_1745400820389,2025,15,ACT,CENTRAL,0,123456789/496506,,https://indiacode.gov.in/server/api/core/items/21c04350-dcd1-4a44-8680-25e9d8b8853b,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b/sections,https://indiacode.gov.in/act/21c04350-dcd1-4a44-8680-25e9d8b8853b/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
15,090dd487-4fb9-4bd8-8968-b8fa8984bf9e,ACT,,,,,"The Immigration and Foreigners Act, 2025",AC_CEN_5_40_00022_2025-13_1757572252406,2025,13,ACT,CENTRAL,0,123456789/496587,,https://indiacode.gov.in/server/api/core/items/090dd487-4fb9-4bd8-8968-b8fa8984bf9e,https://indiacode.gov.in/act/090dd487-4fb9-4bd8-8968-b8fa8984bf9e,https://indiacode.gov.in/act/090dd487-4fb9-4bd8-8968-b8fa8984bf9e/sections,https://indiacode.gov.in/act/090dd487-4fb9-4bd8-8968-b8fa8984bf9e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
16,99eb4e16-4357-4f02-9d47-ee06724eadef,ACT,,,,,"The Boilers Act, 2025",AC_CEN_11_61_00011_A2025-12_1748411048044,2025,12,ACT,CENTRAL,0,123456789/495970,,https://indiacode.gov.in/server/api/core/items/99eb4e16-4357-4f02-9d47-ee06724eadef,https://indiacode.gov.in/act/99eb4e16-4357-4f02-9d47-ee06724eadef,https://indiacode.gov.in/act/99eb4e16-4357-4f02-9d47-ee06724eadef/sections,https://indiacode.gov.in/act/99eb4e16-4357-4f02-9d47-ee06724eadef/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
17,d597e8f1-bec8-420e-b1d2-aa2d76605df2,ACT,,,,,"The ""Tribhuvan"" Sahkari University Act, 2025",AC_CEN_200_0_00003_A2025-11_1745400500757,2025,11,ACT,CENTRAL,0,123456789/496090,,https://indiacode.gov.in/server/api/core/items/d597e8f1-bec8-420e-b1d2-aa2d76605df2,https://indiacode.gov.in/act/d597e8f1-bec8-420e-b1d2-aa2d76605df2,https://indiacode.gov.in/act/d597e8f1-bec8-420e-b1d2-aa2d76605df2/sections,https://indiacode.gov.in/act/d597e8f1-bec8-420e-b1d2-aa2d76605df2/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
18,1160b94f-e0b1-43a8-bdef-09578ac7b54d,ACT,,,,,"The Carriage of Goods by Sea Act, 2025",AC_CEN_198_0_00005_2025-19_1757570478140,2025,19,ACT,CENTRAL,0,123456789/496076,,https://indiacode.gov.in/server/api/core/items/1160b94f-e0b1-43a8-bdef-09578ac7b54d,https://indiacode.gov.in/act/1160b94f-e0b1-43a8-bdef-09578ac7b54d,https://indiacode.gov.in/act/1160b94f-e0b1-43a8-bdef-09578ac7b54d/sections,https://indiacode.gov.in/act/1160b94f-e0b1-43a8-bdef-09578ac7b54d/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
19,ccf19a37-e669-40cb-aa29-1555f223b48e,ACT,,,,,"The Bharatiya Vayuyan Adhiniyam, 2024",AC_CEN_36_0_000010_202416_1738131525716,2024,16,ACT,CENTRAL,0,123456789/496363,,https://indiacode.gov.in/server/api/core/items/ccf19a37-e669-40cb-aa29-1555f223b48e,https://indiacode.gov.in/act/ccf19a37-e669-40cb-aa29-1555f223b48e,https://indiacode.gov.in/act/ccf19a37-e669-40cb-aa29-1555f223b48e/sections,https://indiacode.gov.in/act/ccf19a37-e669-40cb-aa29-1555f223b48e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
20,787ebbb6-45cd-4abb-8d2f-e4e01bbc4f7d,ACT,,,,,"The Public Examinations (Prevention of Unfair Means) Act, 2024",AC_CEN_26_36_00009_A2024-01_1719556801892,2024,1,ACT,CENTRAL,0,123456789/496173,,https://indiacode.gov.in/server/api/core/items/787ebbb6-45cd-4abb-8d2f-e4e01bbc4f7d,https://indiacode.gov.in/act/787ebbb6-45cd-4abb-8d2f-e4e01bbc4f7d,https://indiacode.gov.in/act/787ebbb6-45cd-4abb-8d2f-e4e01bbc4f7d/sections,https://indiacode.gov.in/act/787ebbb6-45cd-4abb-8d2f-e4e01bbc4f7d/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
21,f41756bf-5609-4e8d-bc63-75cd37df0011,ACT,,,,,"The Press and Registration of Periodicals Act, 2023",AC_CEN_29_0_00007_202351_1724412396961,2023,51,ACT,CENTRAL,0,123456789/496216,,https://indiacode.gov.in/server/api/core/items/f41756bf-5609-4e8d-bc63-75cd37df0011,https://indiacode.gov.in/act/f41756bf-5609-4e8d-bc63-75cd37df0011,https://indiacode.gov.in/act/f41756bf-5609-4e8d-bc63-75cd37df0011/sections,https://indiacode.gov.in/act/f41756bf-5609-4e8d-bc63-75cd37df0011/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
22,95e575e3-dbdb-46e7-b60e-5c2bcfbc93a2,ACT,,,,,"The Chief Election Commissioner And Other Election Commissioners (Appointment, Conditions of Service And Term of Office) Act, 2023",AC_CEN_3_20_00080_A2023-49_1704690560714,2023,49,ACT,CENTRAL,0,123456789/496462,,https://indiacode.gov.in/server/api/core/items/95e575e3-dbdb-46e7-b60e-5c2bcfbc93a2,https://indiacode.gov.in/act/95e575e3-dbdb-46e7-b60e-5c2bcfbc93a2,https://indiacode.gov.in/act/95e575e3-dbdb-46e7-b60e-5c2bcfbc93a2/sections,https://indiacode.gov.in/act/95e575e3-dbdb-46e7-b60e-5c2bcfbc93a2/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
23,01e2d921-b61d-4dac-a51e-0a216cfdc4c4,ACT,,,,,"The Provisional collection of Taxes Act,2023",AC_CEN_3_20_00079_202350_1704347596085,2023,50,ACT,CENTRAL,0,123456789/496460,,https://indiacode.gov.in/server/api/core/items/01e2d921-b61d-4dac-a51e-0a216cfdc4c4,https://indiacode.gov.in/act/01e2d921-b61d-4dac-a51e-0a216cfdc4c4,https://indiacode.gov.in/act/01e2d921-b61d-4dac-a51e-0a216cfdc4c4/sections,https://indiacode.gov.in/act/01e2d921-b61d-4dac-a51e-0a216cfdc4c4/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
24,4bb3e636-ed67-4731-8fb1-7ebfd83e1584,ACT,,,,,"The Bharatiya Nyaya Sanhita, 2023",AC_CEN_5_23_00048_2023-45_1719292564123,2023,45,ACT,CENTRAL,0,123456789/496548,,https://indiacode.gov.in/server/api/core/items/4bb3e636-ed67-4731-8fb1-7ebfd83e1584,https://indiacode.gov.in/act/4bb3e636-ed67-4731-8fb1-7ebfd83e1584,https://indiacode.gov.in/act/4bb3e636-ed67-4731-8fb1-7ebfd83e1584/sections,https://indiacode.gov.in/act/4bb3e636-ed67-4731-8fb1-7ebfd83e1584/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
25,9e461245-2c13-4171-9d9d-267425c01e1d,ACT,,,,,"The Bharatiya Sakshya Adhiniyam, 2023",AC_CEN_5_23_00049_2023-47_1719292804654,2023,47,ACT,CENTRAL,0,123456789/496549,,https://indiacode.gov.in/server/api/core/items/9e461245-2c13-4171-9d9d-267425c01e1d,https://indiacode.gov.in/act/9e461245-2c13-4171-9d9d-267425c01e1d,https://indiacode.gov.in/act/9e461245-2c13-4171-9d9d-267425c01e1d/sections,https://indiacode.gov.in/act/9e461245-2c13-4171-9d9d-267425c01e1d/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
26,72592ac7-d084-4545-95d3-0c98dc49fac3,ACT,,,,,"The Bharatiya Nagarik Suraksha Sanhita, 2023",AC_CEN_5_23_00049_202346_1719552320687,2023,46,ACT,CENTRAL,0,123456789/496550,,https://indiacode.gov.in/server/api/core/items/72592ac7-d084-4545-95d3-0c98dc49fac3,https://indiacode.gov.in/act/72592ac7-d084-4545-95d3-0c98dc49fac3,https://indiacode.gov.in/act/72592ac7-d084-4545-95d3-0c98dc49fac3/sections,https://indiacode.gov.in/act/72592ac7-d084-4545-95d3-0c98dc49fac3/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
27,3b49d32d-5af1-4bb9-9f6c-ddac6d06fb1c,ACT,,,,,"The Telecommunications Act, 2023.",AC_CEN_37_58_00002_202344_1721027001853,2023,44,ACT,CENTRAL,0,123456789/496373,,https://indiacode.gov.in/server/api/core/items/3b49d32d-5af1-4bb9-9f6c-ddac6d06fb1c,https://indiacode.gov.in/act/3b49d32d-5af1-4bb9-9f6c-ddac6d06fb1c,https://indiacode.gov.in/act/3b49d32d-5af1-4bb9-9f6c-ddac6d06fb1c/sections,https://indiacode.gov.in/act/3b49d32d-5af1-4bb9-9f6c-ddac6d06fb1c/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
28,80a36343-29f0-4bf0-a82d-e31105eb202f,ACT,,,,,"The Post Office Act, 2023",AC_CEN_37_95_00003_2023-43_1718954617340,2023,43,ACT,CENTRAL,0,123456789/496378,,https://indiacode.gov.in/server/api/core/items/80a36343-29f0-4bf0-a82d-e31105eb202f,https://indiacode.gov.in/act/80a36343-29f0-4bf0-a82d-e31105eb202f,https://indiacode.gov.in/act/80a36343-29f0-4bf0-a82d-e31105eb202f/sections,https://indiacode.gov.in/act/80a36343-29f0-4bf0-a82d-e31105eb202f/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
29,fd1a7f72-25b4-48af-82d0-6c3c6509b098,ACT,,,,,"The Repealing and Amending Act, 2023",AC_CEN_3_20_00079_202337_1703224004767,2023,37,ACT,CENTRAL,0,123456789/496459,,https://indiacode.gov.in/server/api/core/items/fd1a7f72-25b4-48af-82d0-6c3c6509b098,https://indiacode.gov.in/act/fd1a7f72-25b4-48af-82d0-6c3c6509b098,https://indiacode.gov.in/act/fd1a7f72-25b4-48af-82d0-6c3c6509b098/sections,https://indiacode.gov.in/act/fd1a7f72-25b4-48af-82d0-6c3c6509b098/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
30,f3810ecc-2e1f-44f7-b246-b374e098ccb6,ACT,,,,,"The Mediation Act, 2023",AC_CEN_3_46_00011_A2023-32_1697800640677,2023,32,ACT,CENTRAL,0,123456789/496500,,https://indiacode.gov.in/server/api/core/items/f3810ecc-2e1f-44f7-b246-b374e098ccb6,https://indiacode.gov.in/act/f3810ecc-2e1f-44f7-b246-b374e098ccb6,https://indiacode.gov.in/act/f3810ecc-2e1f-44f7-b246-b374e098ccb6/sections,https://indiacode.gov.in/act/f3810ecc-2e1f-44f7-b246-b374e098ccb6/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
31,eb894a2b-5d22-4b2e-9304-ab392ea42b7f,ACT,,,,,"The Inter-Services Organisations (Command, Control and Discipline) Act, 2023",AC_CEN_28_1408_00016_202328_1715339556253,2023,28,ACT,CENTRAL,0,123456789/496193,,https://indiacode.gov.in/server/api/core/items/eb894a2b-5d22-4b2e-9304-ab392ea42b7f,https://indiacode.gov.in/act/eb894a2b-5d22-4b2e-9304-ab392ea42b7f,https://indiacode.gov.in/act/eb894a2b-5d22-4b2e-9304-ab392ea42b7f/sections,https://indiacode.gov.in/act/eb894a2b-5d22-4b2e-9304-ab392ea42b7f/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
32,b15bd50d-66a2-436e-afab-82830555e9c9,ACT,,,,,"The National Nursing and Midwifery Commission Act, 2023",AC_CEN_12_13_00025_202326_1710407531189,2023,26,ACT,CENTRAL,0,123456789/495993,,https://indiacode.gov.in/server/api/core/items/b15bd50d-66a2-436e-afab-82830555e9c9,https://indiacode.gov.in/act/b15bd50d-66a2-436e-afab-82830555e9c9,https://indiacode.gov.in/act/b15bd50d-66a2-436e-afab-82830555e9c9/sections,https://indiacode.gov.in/act/b15bd50d-66a2-436e-afab-82830555e9c9/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
33,40daad55-affd-4dbf-b490-54accb4fb046,ACT,,,,,"The Anusandhan National Research Foundation Act, 2023",AC_CEN_3_20_00081_202325_1707384553118,2023,25,ACT,CENTRAL,0,123456789/496463,,https://indiacode.gov.in/server/api/core/items/40daad55-affd-4dbf-b490-54accb4fb046,https://indiacode.gov.in/act/40daad55-affd-4dbf-b490-54accb4fb046,https://indiacode.gov.in/act/40daad55-affd-4dbf-b490-54accb4fb046/sections,https://indiacode.gov.in/act/40daad55-affd-4dbf-b490-54accb4fb046/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
34,3e32e192-4ab9-4ed9-857e-c3716f8da357,ACT,,,,,"The National Dental Commission Act, 2023",AC_CEN_12_13_00024_2023-21_1710130648069,2023,21,ACT,CENTRAL,0,123456789/495992,,https://indiacode.gov.in/server/api/core/items/3e32e192-4ab9-4ed9-857e-c3716f8da357,https://indiacode.gov.in/act/3e32e192-4ab9-4ed9-857e-c3716f8da357,https://indiacode.gov.in/act/3e32e192-4ab9-4ed9-857e-c3716f8da357/sections,https://indiacode.gov.in/act/3e32e192-4ab9-4ed9-857e-c3716f8da357/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
35,c058fa9f-eaf0-4ca3-98f1-3443b087bca9,ACT,,,,,"The Digital Personal Data Protection Act, 2023.",AC_CEN_45_0_00003_2023-22_1763464807080,2023,22,ACT,CENTRAL,0,123456789/496508,,https://indiacode.gov.in/server/api/core/items/c058fa9f-eaf0-4ca3-98f1-3443b087bca9,https://indiacode.gov.in/act/c058fa9f-eaf0-4ca3-98f1-3443b087bca9,https://indiacode.gov.in/act/c058fa9f-eaf0-4ca3-98f1-3443b087bca9/sections,https://indiacode.gov.in/act/c058fa9f-eaf0-4ca3-98f1-3443b087bca9/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
36,12b4bbf0-2e7f-44b6-97a6-c5d2a3abef95,ACT,,,,,"The Maritime Anti-Piracy Act, 2022.",AC_CEN_10_0_00019_202303_1696834013167,2023,3,ACT,CENTRAL,0,123456789/495933,,https://indiacode.gov.in/server/api/core/items/12b4bbf0-2e7f-44b6-97a6-c5d2a3abef95,https://indiacode.gov.in/act/12b4bbf0-2e7f-44b6-97a6-c5d2a3abef95,https://indiacode.gov.in/act/12b4bbf0-2e7f-44b6-97a6-c5d2a3abef95/sections,https://indiacode.gov.in/act/12b4bbf0-2e7f-44b6-97a6-c5d2a3abef95/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
37,63c4925e-822e-4f59-b558-3de9e3f1bb06,ACT,,,,,"The National Anti-Doping Act, 2022",AC_CEN_34_53_00003_2022-15_1785389786301,2022,15,ACT,CENTRAL,0,123456789/619291,,https://indiacode.gov.in/server/api/core/items/63c4925e-822e-4f59-b558-3de9e3f1bb06,https://indiacode.gov.in/act/63c4925e-822e-4f59-b558-3de9e3f1bb06,https://indiacode.gov.in/act/63c4925e-822e-4f59-b558-3de9e3f1bb06/sections,https://indiacode.gov.in/act/63c4925e-822e-4f59-b558-3de9e3f1bb06/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
38,e5eed822-a7b7-4a39-9eab-6955f603f497,ACT,,,,,"The Indian Antarctic Act, 2022",AC_CEN_203_0_00001_202213_1694673147668,2022,13,ACT,CENTRAL,0,123456789/496091,,https://indiacode.gov.in/server/api/core/items/e5eed822-a7b7-4a39-9eab-6955f603f497,https://indiacode.gov.in/act/e5eed822-a7b7-4a39-9eab-6955f603f497,https://indiacode.gov.in/act/e5eed822-a7b7-4a39-9eab-6955f603f497/sections,https://indiacode.gov.in/act/e5eed822-a7b7-4a39-9eab-6955f603f497/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
39,09c34f52-648d-40c9-8f00-a78efe6bfe9e,ACT,,,,,"The Criminal Procedure (Identification) Act, 2022",AC_CEN_5_23_00043_202211_1659596300196,2022,11,ACT,CENTRAL,0,123456789/496544,,https://indiacode.gov.in/server/api/core/items/09c34f52-648d-40c9-8f00-a78efe6bfe9e,https://indiacode.gov.in/act/09c34f52-648d-40c9-8f00-a78efe6bfe9e,https://indiacode.gov.in/act/09c34f52-648d-40c9-8f00-a78efe6bfe9e/sections,https://indiacode.gov.in/act/09c34f52-648d-40c9-8f00-a78efe6bfe9e/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
40,c418a283-d7ef-4421-bf06-37dd7e9ce18f,ACT,,,,,"The Surrogacy (Regulation) Act, 2021",AC_CEN_12_72_00002_202147_1643711958603,2021,47,ACT,CENTRAL,0,123456789/495997,,https://indiacode.gov.in/server/api/core/items/c418a283-d7ef-4421-bf06-37dd7e9ce18f,https://indiacode.gov.in/act/c418a283-d7ef-4421-bf06-37dd7e9ce18f,https://indiacode.gov.in/act/c418a283-d7ef-4421-bf06-37dd7e9ce18f/sections,https://indiacode.gov.in/act/c418a283-d7ef-4421-bf06-37dd7e9ce18f/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
41,6a92de1c-ffd4-4d0a-abfd-4fe579a03e6d,ACT,,,,,"The Assisted Reproductive Technology (Regulation) Act, 2021",AC_CEN_12_72_00001_202142_1643274805540,2021,42,ACT,CENTRAL,0,123456789/495995,,https://indiacode.gov.in/server/api/core/items/6a92de1c-ffd4-4d0a-abfd-4fe579a03e6d,https://indiacode.gov.in/act/6a92de1c-ffd4-4d0a-abfd-4fe579a03e6d,https://indiacode.gov.in/act/6a92de1c-ffd4-4d0a-abfd-4fe579a03e6d/sections,https://indiacode.gov.in/act/6a92de1c-ffd4-4d0a-abfd-4fe579a03e6d/schedules,9067cfd7a4a46e1047adde176d4f51c6f322237dc21cf360780289fff315509a,
